LATITUDE,LONGITUDE,ELEVATION,TMAX
42.7131,-106.3461,2359.2,27.6
34.4416,-83.5161,279.8,52.3
45.15,-118.22,1569.7,36.3
32.3479,-104.2224,951,58.8
39.1733,-76.684,47.5,41.6
32.7047,-99.3012,441.4,54.7
34.43861,-100.21833,585.2,55.4
36.2047,-112.0622,2479.2,40.6
38.2612,-94.405,240.8,38.1
36.6833,-75.9333,365.8,50.5
41.4175,-95.0041,351.1,30.5
40.82086,-76.49831,309.4,34
33.46694,-82.03861,128.9,59.2
29.8607,-98.1959,304.8,59.8
39.9919,-105.2667,1671.5,47.9
40.5361,-79.8152,228,36.6
37.0679,-78.9517,124.4,48.3
45.0057,-71.6903,517.9,22.3
26.8338,-97.7077,7.6,67.9
48.13,-113.02,2103.1,31.5
45.38564,-96.12578,334.7,17.1
47.3847,-94.6147,395,14.2
45.1,-121.75,1036.3,38.5
35.4319,-82.5375,645.3,48.3
40.8397,-111.8313,1624.6,37.7
47.68,-114,1499.6,31.8
43.76,-116.1,1932.4,36.1
44.0569,-121.285,1115.6,44.4
38.4883,-120.325,1524,53.8
31.33472,-92.55861,25.6,59.6
42.05,-122.85,1844,39.4
45.7212,-120.2064,84.4,42.4
37.79,-108.18,3529.6,26.3
32.1615,-94.3398,93,56.1
46.3414,-86.9242,265.2,20.2
44.95,-111.36,2392.7,26.9
35.2236,-80.9552,221.9,53.5
45.6527,-84.4725,179.2,23.4
43.6231,-113.3872,1639.8,29.6
43.9316,-69.8564,7.6,30.1
40.03972,-88.27778,229.8,31.5
42.1256,-86.4284,196,30.6
45.59595,-96.82841,298.1,18
44.4683,-73.1499,100.6,26.4
37.70806,-77.43444,62.5,47.7
39.5475,-81.6283,187.5,37.4
44.3489,-123.8853,593.1,49
44.9711,-118.9297,1158.2,42.8
40.7333,-123.2333,457.2,52.7
45.3172,-85.2672,180.7,25.2
43.5,-121.05,1385.3,42.5
40.1468,-79.8986,228.3,38.7
40.8415,-79.9163,304.8,32.7
