LATITUDE,LONGITUDE,ELEVATION,TMAX
43.7727,-111.0338,1962.9,29.3
40.6118,-116.8917,1373.1,49.8
47.5361,-113.7172,1122.9,35.2
34.86,-111.61,1948.6,50.8
47.4883,-111.2792,1068.3,39.9
47.4829,-118.2519,658.1,35.5
43.7383,-116.2022,1184.1,39.8
32.6263,-116.4699,801.6,63
43.4675,-122.2175,1170.4,49.7
46.9658,-123.8291,3,49.8
40.0222,-120.1056,1292.4,46.2
37.5167,-112.5556,2468.9,37.7
33.4191,-111.6444,462.7,67.1
45.7716,-122.5286,86.6,48.1
49.2833,-122.9167,366,45.1
43.3208,-122.1067,1473.4,47.5
48.95,-118.99,1633.7,32.8
43.5253,-116.0542,865.6,43.8
37.905,-111.42,2026.9,36.5
41.82,-116.1,2133.6,36.9
46.87,-121.53,1597.2,36.9
40.8288,-115.7886,1533.1,38.1
33.8081,-117.7111,542.8,61.8
47.4615,-111.385,1129.3,39.9
48.5428,-109.7633,787.9,36.9
40.505,-123.3417,1219.2,47.3
43.74,-113.94,2407.9,33.3
41.76,-115.69,2042.2,35.7
47.7333,-120.5333,1060.7,36.9
44.1011,-115.9694,944.9,34
38.9792,-112.2394,1975.1,41.6
33.7044,-115.6289,417.6,64.1
42.5769,-121.8936,1347.2,43.6
41.5697,-115.2111,1816.6,36.8
44.13,-110.83,2214.4,28.5
37.0664,-119.0394,1727.6,51.2
36.4914,-118.8253,520.6,59.9
35.5317,-118.6303,718.1,59.1
45.9444,-121.9864,457.2,42.3
43.6,-114.67,2566.4,32.3
38.0394,-122.57,457.2,55.4
35.2947,-113.3666,1674,50.1
43.61,-113.93,1999.5,38.8
34.3789,-117.6919,2108.3,46.3
40.89,-115.2,2468.9,34.2
34.5975,-113.1745,1199.4,55
43.9772,-113.8288,1908,32.7
39.41667,-118.71667,1199.1,49.6
41.0975,-123.6358,1088.1,49.1
35.6875,-117.6931,679.7,60
43.9281,-123.8903,556.6,51.1
34.228,-113.5777,393.2,63.8
40.891,-111.8504,1508.8,35.9
48.1989,-120.7735,980.8,29.7
37.0153,-119.5678,366.1,58.8
41.89,-120.75,1575.8,43.5
41.0061,-119.5681,2100.1,37.9
33.3597,-109.8331,2264.1,47.4
45.02,-111.85,2621.3,28.7
47.7722,-121.4819,234.7,45.4
37.6128,-114.5265,1334.7,46.5
37.9747,-119.9161,1452.4,48.8
46.4356,-109.8428,1286.9,40.5
36.45,-112.24,2653.6,40.4
37.8044,-114.4069,1472.2,46.1
41.8328,-112.0558,1307.6,30.6
45.6847,-121.5175,152.4,43.1
41.57,-115.03,2133.6,35.9
47.4136,-124.1031,179.2,49.3
36.4622,-116.8669,-59.1,68.1
49.2167,-123.8,5,46.4
38.3083,-113.3847,1713,38.4
46.5786,-109.9477,1510,37.8
47.7921,-111.2204,1051.6,37.6
47.6151,-111.9861,1214,40.3
35.8922,-118.915,64,61.4
47.62,-119.8983,771.1,34.4
37.5264,-109.8936,2011.7,40.3
39.0914,-120.7317,1327.4,51.5
34.5225,-119.6822,474.9,64.8
39.9336,-110.8617,2584.7,32.8
45.2117,-123.7719,682.8,49
39.3975,-121.3861,244.8,58.9
42.9404,-115.323,751.6,47.2
38.6667,-112.6508,1831.8,38
47.4536,-121.6658,478.5,45
37.0919,-119.5128,637,56.9
32.8358,-116.7774,516.6,63.5
37.7086,-113.0944,1702.6,41.1
35.6841,-121.1683,465.1,58.4
42.58444,-110.1075,2124.5,26
33.0867,-109.9506,1005.8,58.1
45.35,-111.7344,1505.4,37.5
39.33,-120.37,2089.4,41.7
